Date,Headlines,Author,Tag Text,True_Label,chatgpt_Headlines_Predicted_Label,chatgpt_Tag Text_Predicted_Label
17/03/2018,Ritual killing? Outrage in Kakamega as missing girl found dead in water tank,SDE Entertainment News,"Occurrences of ritual killings in Kakamega, which are linked to devilworshipping, have caused panic among residents. In June 2014, the body ofDeborah Achieng, a standard seven pupil at Nabongo Primary School, was foundmutilated. Some of her body parts were chopped off and dumped at a ...",negative,negative,negative
17/03/2018,A New Moon Ritual For Cutting The Cord On Limiting Beliefs mindbodygreen.com,Unknown,"The Pisces new moon is a juicy, watery, soft, and tender one. Piscescatches a lot of flak for being emotional, romantic, and mystical??sometimesto a fault. That means that this moon might make you feel more sensitive toother people's vibes. And guess what? That's OK! Every new moon carries itsown ...",positive,positive,positive
17/03/2018,"Dead chickens, goats from animal sacrifice ritual found in West Bexar",County,"WOAISAN ANTONIO - Police are questioning suspects Thursday night who claimedthey killed chickens, goats and other animals in a religious sacrificeritual. Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said they could see people in thegarage ...",negative,negative,negative
24/03/2018,"Jepitu farmers, fishermen hold thanksgiving ritual for good harvest",Jakarta Post,Two fishermen fish using a net at the as part of the 'Sedekah LautNgalangi' thanksgiving ritual on Jungwok Beach. Two fishermen fish using anet at the as part of the 'Sedekah Laut Ngalangi OF JP/Stefanus Ajie. Twofishermen fish using a net at the as part of the 'Sedekah Laut Ngalangi'thanksgiving ...,positive,positive,positive
24/03/2018,Texas authorities: At least 12 arrested for animal ritual,Unknown,SAN ANTONIO (AP) ?? Authorities in Texas have arrested at least a dozenpeople for animal cruelty after interrupting what they believe was ritualsacrifice.,negative,negative,negative
24/03/2018,Authorities arrest 11 people after finding dead animals in sacrifice ritual,Unknown,SAN ANTONIO - The Bexar County Sheriff's Office arrested 11 people Saturdayafter finding several dead animals in a garage in West BexarCounty.Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said the.,negative,negative,negative
24/03/2018,"12 Arrested During Ritual Sacrifice Involving Dead and Dismembered Animals,",Police Say,TIME(SAN ANTONIO) ?? Authorities in Texas have arrested at least a dozen peoplefor animal cruelty after interrupting what they believe was ritualsacrifice. The San Antonio Express-News reports that Bexar County sheriff'sdeputies found dead and dismembered animals in a San Antonio-are home Friday...,negative,negative,negative
31/03/2018,A full moon ritual to bring out your inner High Priestess badass,HelloGiggles,"The High Priestess is innately connected to intuition, our magick, thedivine feminine, cycles of death and rebirth, and spiritual mysteries. Ifyou want to sow some seeds of magick this Full Blue Moon and spring, read onfor a simple full moon ritual that will get you in tune with mind, body, andspirit.",positive,positive,positive
31/03/2018,Mormons' Weekly Family Ritual Is an Antidote to Fast-Paced Living,The Atlantic,"More than 100 years after family home evening was conceived, it has takenon new relevance in a modern, fast-paced culture. (Other religions' ritualsplay a similar role in setting aside dedicated, special family time??theJewish sabbath, in particular, stands out as a strong example.) As scholarsof family ...",positive,positive,positive
31/03/2018,"Karaga: This annual, cultural ritual symbolises the spirit of Bengaluru",Economic Times,"Karaga Till the 1800s, Bengaluru comprised a fort, several tanks andsettlements interspersed with forests, horticultural gardens and maidans.The British cantonment replaced this with smaller parks and boulevards.Post-Independence, planners gave more prominence to roads. Green spaces andwater ...",positive,positive,positive
31/03/2018,Former nurse accuses surgeon of 'twisted hazing ritual',The Boston Globe,A former nurse at UMass Memorial Medical Center in Worcester is allegingshe was subjected to a ??twisted hazing ritual?? in the operating room when adoctor sprayed her with biologically contaminated water from an instrument.In a five-page complaint filed in January with the Massachusetts ...,negative,negative,negative
07/04/2018,"Animal heads, possibly part of ritual, found in Harvard Square trash",WCVB Boston,"Animal remains, including pig and goat heads, thought to be part of areligious ritual were found in a Church Street trash barrel on March 31,Wicked Local reported. A man reported to police at 9:34 a.m. that he sawthree pig heads, what he thought were three deer heads and a dead bird inboxes in a ...",negative,negative,negative
07/04/2018,Archbishop condemns ritual killing of children in Senegal,Crux: Covering all things Catholic,"The phenomenon is not specific to Senegal alone. Ritual killings have beenreported in several other African countries, including Uganda, Liberia,Ivory Coast, Cameroon and South Africa. Those who practice human sacrificeand ritual killings believe them to be acts of spiritual fortification.Witch doctors ...",negative,negative,negative
14/04/2018,"Mom charged with killing sons in 'voodoo ritual' sought fame, fortune",New York Post,Prosecutors say Sanders' has also urged family members to give interviewswhile she is being held without bail. Sanders previously told officers shestabbed 8-year-old Edson Brito and 5-year-old La'son Brito in theirapartment as part of a failed Voodoo ritual. The elder boy had been stabbedat least 70 ...,negative,negative,negative
14/04/2018,"Bedtime Ritual Improves Sleep, Keeps Hospital Rooms Quiet",Medscape,"ORLANDO ?? A nonpharmacologic intervention that promotes both sleep andquieter hospital rooms is effective, new research from the Sleep Hygiene inthe Hospital Project (SHH!) shows. The protocol can be replicated easily, atnext to no cost, said lead researcher Michael Herscher, MD, from the ...",positive,positive,positive
14/04/2018,Poland's Kaczynski ends monthly air crash ritual in memory of twin,Financial Times,"For most of the eight years since an aircraft carrying Poland's presidentLech Kaczynski ploughed into the ground near Smolensk in April 2010, histwin Jaroslaw has led monthly marches to mark the catastrophe. On Tuesday,the ritual will take place for the final time. In the intervening years, the...",negative,negative,negative
21/04/2018,"Mantsoe confessed to blood ritual with Mokoena, court told",Eyewitness News,JOHANNESBURG - A police officer testifying in Sandile Mantsoe's murdertrial has told the court in that the accused confessed to performing a bloodritual with Karabo Mokoena in a bid to boost his business. Constable HelenMahwete is testifying in the case on the fourth day of trial in the SouthGauteng ...,negative,negative,negative
21/04/2018,4 plead not guilty in drinking death of frat pledge after hazing ritual,New York Post,"But witnesses said Naquin singled out Gruver during a hazing ritualinvolving 18 to 20 pledges, and forced him to drink more than the others thenight before his death, according to a police report. Naquin targeted Gruverbecause he was frequently late for events and forced him to drink because hewas ...",negative,negative,negative
21/04/2018,New Jewish ritual bath mikvah fosters connection to nature and God,The Columbus Dispatch,"Submerging oneself in a pool of natural water is a long-standing Jewishtradition, and it's one that is getting a modern twist in Columbus. For thepast few years, a board of Jewish community members has been working onfunding and constructing a mikvah, or ritual bath, in central Ohio. Now, thebath ...",positive,positive,positive
28/04/2018,A Pink Moon ritual that will help you shed all the bad shit that's clogging your soul,HelloGiggles,"But as they say: out with the old, in with the new. With this meditationand ritual, we'll be able to see what we need to release to welcome in a newchapter.",positive,positive,positive
28/04/2018,Korean summit: Welcoming Kim Jong-un with pomp and peace rituals,BBC News,How do you welcome a North Korean leader who just months ago wasthreatening your country? With lots of elaborate pomp and a series ofsymbolic rituals. 8h ago. Share this with Facebook ?? Share this with Twitter?? Share this with Messenger ?? Share this with Messenger ?? Share this withEmail; Share.,positive,positive,negative
