Date,Headlines,Author,Tag Text,True_Label,Vader_Headlines_sentiment_score,Vader_Headlines_compound_score,Vader_Tag Text_sentiment_score,Vader_Tag Text_compound_score,Vader_Headlines_Predicted_Label,Vader_Tag Text_Predicted_Label
17/03/2018,Ritual killing? Outrage in Kakamega as missing girl found dead in water tank,SDE Entertainment News,"Occurrences of ritual killings in Kakamega, which are linked to devilworshipping, have caused panic among residents. In June 2014, the body ofDeborah Achieng, a standard seven pupil at Nabongo Primary School, was foundmutilated. Some of her body parts were chopped off and dumped at a ...",negative,"{'neg': 0.612, 'neu': 0.388, 'pos': 0.0, 'compound': -0.9349}",-0.9349,"{'neg': 0.196, 'neu': 0.804, 'pos': 0.0, 'compound': -0.8885}",-0.8885,negative,negative
17/03/2018,A New Moon Ritual For Cutting The Cord On Limiting Beliefs mindbodygreen.com,Unknown,"The Pisces new moon is a juicy, watery, soft, and tender one. Piscescatches a lot of flak for being emotional, romantic, and mystical??sometimesto a fault. That means that this moon might make you feel more sensitive toother people's vibes. And guess what? That's OK! Every new moon carries itsown ...",positive,"{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.128}",-0.128,"{'neg': 0.049, 'neu': 0.857, 'pos': 0.094, 'compound': 0.3468}",0.3468,negative,positive
17/03/2018,"Dead chickens, goats from animal sacrifice ritual found in West Bexar",County,"WOAISAN ANTONIO - Police are questioning suspects Thursday night who claimedthey killed chickens, goats and other animals in a religious sacrificeritual. Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said they could see people in thegarage ...",negative,"{'neg': 0.301, 'neu': 0.699, 'pos': 0.0, 'compound': -0.6486}",-0.6486,"{'neg': 0.229, 'neu': 0.771, 'pos': 0.0, 'compound': -0.9042}",-0.9042,negative,negative
24/03/2018,"Jepitu farmers, fishermen hold thanksgiving ritual for good harvest",Jakarta Post,Two fishermen fish using a net at the as part of the 'Sedekah LautNgalangi' thanksgiving ritual on Jungwok Beach. Two fishermen fish using anet at the as part of the 'Sedekah Laut Ngalangi OF JP/Stefanus Ajie. Twofishermen fish using a net at the as part of the 'Sedekah Laut Ngalangi'thanksgiving ...,positive,"{'neg': 0.0, 'neu': 0.734, 'pos': 0.266, 'compound': 0.4404}",0.4404,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive,positive
24/03/2018,Texas authorities: At least 12 arrested for animal ritual,Unknown,SAN ANTONIO (AP) ?? Authorities in Texas have arrested at least a dozenpeople for animal cruelty after interrupting what they believe was ritualsacrifice.,negative,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",-0.4767,"{'neg': 0.323, 'neu': 0.677, 'pos': 0.0, 'compound': -0.8611}",-0.8611,negative,negative
24/03/2018,Authorities arrest 11 people after finding dead animals in sacrifice ritual,Unknown,SAN ANTONIO - The Bexar County Sheriff's Office arrested 11 people Saturdayafter finding several dead animals in a garage in West BexarCounty.Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said the.,negative,"{'neg': 0.427, 'neu': 0.573, 'pos': 0.0, 'compound': -0.7717}",-0.7717,"{'neg': 0.239, 'neu': 0.761, 'pos': 0.0, 'compound': -0.9062}",-0.9062,negative,negative
24/03/2018,"12 Arrested During Ritual Sacrifice Involving Dead and Dismembered Animals,",Police Say,TIME(SAN ANTONIO) ?? Authorities in Texas have arrested at least a dozen peoplefor animal cruelty after interrupting what they believe was ritualsacrifice. The San Antonio Express-News reports that Bexar County sheriff'sdeputies found dead and dismembered animals in a San Antonio-are home Friday...,negative,"{'neg': 0.481, 'neu': 0.519, 'pos': 0.0, 'compound': -0.8126}",-0.8126,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.9308}",-0.9308,negative,negative
31/03/2018,A full moon ritual to bring out your inner High Priestess badass,HelloGiggles,"The High Priestess is innately connected to intuition, our magick, thedivine feminine, cycles of death and rebirth, and spiritual mysteries. Ifyou want to sow some seeds of magick this Full Blue Moon and spring, read onfor a simple full moon ritual that will get you in tune with mind, body, andspirit.",positive,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",0.34,"{'neg': 0.072, 'neu': 0.904, 'pos': 0.024, 'compound': -0.5574}",-0.5574,positive,negative
31/03/2018,Mormons' Weekly Family Ritual Is an Antidote to Fast-Paced Living,The Atlantic,"More than 100 years after family home evening was conceived, it has takenon new relevance in a modern, fast-paced culture. (Other religions' ritualsplay a similar role in setting aside dedicated, special family time??theJewish sabbath, in particular, stands out as a strong example.) As scholarsof family ...",positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.8541}",0.8541,positive,positive
31/03/2018,"Karaga: This annual, cultural ritual symbolises the spirit of Bengaluru",Economic Times,"Karaga Till the 1800s, Bengaluru comprised a fort, several tanks andsettlements interspersed with forests, horticultural gardens and maidans.The British cantonment replaced this with smaller parks and boulevards.Post-Independence, planners gave more prominence to roads. Green spaces andwater ...",positive,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.1779}",0.1779,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,positive,positive
31/03/2018,Former nurse accuses surgeon of 'twisted hazing ritual',The Boston Globe,A former nurse at UMass Memorial Medical Center in Worcester is allegingshe was subjected to a ??twisted hazing ritual?? in the operating room when adoctor sprayed her with biologically contaminated water from an instrument.In a five-page complaint filed in January with the Massachusetts ...,negative,"{'neg': 0.255, 'neu': 0.745, 'pos': 0.0, 'compound': -0.34}",-0.34,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.4871}",-0.4871,negative,negative
07/04/2018,"Animal heads, possibly part of ritual, found in Harvard Square trash",WCVB Boston,"Animal remains, including pig and goat heads, thought to be part of areligious ritual were found in a Church Street trash barrel on March 31,Wicked Local reported. A man reported to police at 9:34 a.m. that he sawthree pig heads, what he thought were three deer heads and a dead bird inboxes in a ...",negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.6486}",-0.6486,positive,negative
