Date,Headlines,Author,Tag Text,True_Label
2018-03-17,Ritual killing? Outrage in Kakamega as missing girl found dead in water tank,SDE Entertainment News,"Occurrences of ritual killings in Kakamega, which are linked to devilworshipping, have caused panic among residents. In June 2014, the body ofDeborah Achieng, a standard seven pupil at Nabongo Primary School, was foundmutilated. Some of her body parts were chopped off and dumped at a ...",
2018-03-17,Meal-ordering app Ritual exposes government employees' office locations,The Verge,"A couple months after Strava unintentionally exposed military baselocations, another app named Ritual is exposing government agencies'locations and workers' restaurant routines. Ritual promises to streamlinetakeout by letting co-workers piggyback off each others' orders. Users get anotification ...",
2018-03-17,"In Spanish Basque Country, Sampling Cider and an Ancient Ritual",New York Times,"No one really tells you what to do when you first arrive at a sagardotegi,or traditional Basque cider house, especially if you don't speak Basque.You're simply given a glass, led to one of the long wooden tables in a vastroom, and immediately served a plate of chorizo, followed by a cod omelet.",
2018-03-17,Perspectives | Scapegoating Becomes a Pre-Election Ritual in Russia,EurasiaNet,"Perspectives | Scapegoating Becomes a Pre-Election Ritual in Russia. Apredictable electoral pattern of choreographed corruption crackdown hastaken hold in Russia during the Putin era. Andres Fernandez Mar 16, 2018.Russian President Vladimir Putin addresses the crowd at a forum entitled ...",
2018-03-17,Ready for the new moon? Try this guided ritual outdoors for *extra* earth-mama magic,Well+Good,"Mindfulness rockstar Kelly Morris is here to lead you through some seriousintention-setting, divine-feminine magic this month. An expert at guidedmeditations—just ask the wellness insiders who listen to her Infinity Callevery day, without fail—Morris is offering up an at-home New Moon in Piscesritual ...",
2018-03-17,A New Moon Ritual For Cutting The Cord On Limiting Beliefs mindbodygreen.com,Unknown,"The Pisces new moon is a juicy, watery, soft, and tender one. Piscescatches a lot of flak for being emotional, romantic, and mystical—sometimesto a fault. That means that this moon might make you feel more sensitive toother people's vibes. And guess what? That's OK! Every new moon carries itsown ...",
2018-03-17,"Dead chickens, goats from animal sacrifice ritual found in West Bexar",County,"WOAISAN ANTONIO - Police are questioning suspects Thursday night who claimedthey killed chickens, goats and other animals in a religious sacrificeritual. Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said they could see people in thegarage ...",
2018-03-17,Lorde's 'f**king lit' backstage ritual,New Zealand Herald,"You would think the Grammy award winner would be a bit more 'rock n roll'with her backstage antics, but no. The Kiwi superstar has posted her bizarrebackstage activities on her Instagram story today. In a cute video Ellareveals she adores puzzles. “People often ask what you do to keep busy onsuch ...",
2018-03-17,Nyepi Ritual in Yogyakarta Using Holy Water from India,Tempo.co,"TEMPO.CO, Jakarta - A total of 5,000 Hindus from Central Java andYogyakarta joined Tawur Kesanga ritual to commemorate Nyepi Holy Day atPrambanan Temple, Yogyakarta, on Friday, March 16. Since early morning,people flocked to the yard of Wisnu Mandala in Prambanan Temple Park (TWC)...",
2018-03-17,Video: The story behind Tennessee's board game ritual,247Sports,Video: The story behind Tennessee's board game ritual. VFL Films gets aninside look at Settlers of Catan and the tradition on the road for a fewTennessee basketball players. Grant Ramey - 12 hours ago; 0; Tools. Edit;Slot to 247Sports Home; Slot to Tennessee Volunteers Newsletter; Slot to ...,
2018-03-24,Big Cats and 'Ritual' Dogs Lived in Mayan Captivity,Live Science,"The dogs may have belonged to an important person or even been used inreligious rituals, said study leader Ashley Sharpe, an archaeologist withthe Smithsonian Tropical Research Institute. These animals weren'tnecessarily all domesticated, Sharpe said, meaning humans weren't alwayscontrolling ...",
2018-03-24,Victor Hedman Has A Weird Pregame Ritual,Deadspin,"Before every game for most of his career, Tampa defenseman Victor Hedmanplays the knife game, aka five-finger fillet, aka mumblety-peg, akastabscotch, rapidly stabbing the blade of his stick between the spreadfingers of Lightning assistant equipment manager Rob Kennedy. While hereportedly isn't ...",
2018-03-24,Starbucks' mobile order push meets resistance from ritual seekers,Reuters,"LOS ANGELES (Reuters) - Starbucks Corp (SBUX.O) wants more people to useits time-saving mobile ordering app that lets customers buy drinks withoutwaiting in line. A customer picks-up his smart phone order from a new mobileorder window, tested at a Starbucks coffee shop in downtown Los ...",
2018-03-24,Dutch animal welfare party proposes ban on ritual slaughter,The Times of Israel,"Across Europe, the Muslim and Jewish customs of ritual slaughter of animalsand the circumcision of boys have come under attack in recent years bynationalists who regard them as foreign, and by liberals who view them ascruel. In Iceland, a liberal party recently filed a bill to bancircumcision. And in ...",
2018-03-24,"Jepitu farmers, fishermen hold thanksgiving ritual for good harvest",Jakarta Post,Two fishermen fish using a net at the as part of the 'Sedekah LautNgalangi' thanksgiving ritual on Jungwok Beach. Two fishermen fish using anet at the as part of the 'Sedekah Laut Ngalangi OF JP/Stefanus Ajie. Twofishermen fish using a net at the as part of the 'Sedekah Laut Ngalangi'thanksgiving ...,
2018-03-24,Check Out Some New Bloodstained: Ritual of the Night Screenshots,PlayStation LifeStyle,"During the 2018 SXSW festival, game designer Koji Igarashi joined a panelto discuss his upcoming Bloodstained: Ritual of the Night. On the panel, IGAshared his insight into his experiences developing the game, his return tothe world of the Metroidvania genre, and discussed his long and tenured ...",
2018-03-24,Stellpflug column: Burning socks just one more spring ritual to add to the list,WiscNews,"Why men didn't follow suit and quickly create a tie burning ritual isbeyond me. Those neck chokers seem uncomfortable and it seems they get intosoup and spaghetti sauce with regularity. I understand the finished look ofbeing dressed up, and the need for a sure-fire Father's Day gift, butseriously, ...",
2018-03-24,Ritual of Habits,Unknown,"Over the course of two years, I cataloged images of everything sweet in mydiet, turning these sugary confections into digital memories. Sugar isrepresentative of physical and moral decay, but these desserts are preservedthrough a ritual of photogrammetry* so their mindless consumption, ...",
2018-03-24,Sharpening Ceremony and Ritual: The Beautiful Blades of Golden Kingdoms,Unknown,"Later metal and flint blades of various forms were vital ceremonial objectsused in ritual performance. In Mesoamerica, blades made of greenstone,including jadeite, were powerful symbols of power over maize agriculture, akey component of rulers' claims to political power. In the Central Andes, onthe ...",
2018-03-24,Exploring ritual music from the Temple of Attained Wisdom,Unknown,"Ahead of a special performance in the Museum's Sir Joseph Hotung Gallery ofChina and South Asia, Curator Jessica Harrison-Hall and independent scholarStephen Jones join monks from the Zhi Hua temple ('Temple of WisdomAttained') in Beijing to discuss the history and meaning of their religious...",
2018-03-24,Texas authorities: At least 12 arrested for animal ritual,Unknown,SAN ANTONIO (AP) — Authorities in Texas have arrested at least a dozenpeople for animal cruelty after interrupting what they believe was ritualsacrifice.,
2018-03-24,Authorities arrest 11 people after finding dead animals in sacrifice ritual,Unknown,SAN ANTONIO - The Bexar County Sheriff's Office arrested 11 people Saturdayafter finding several dead animals in a garage in West BexarCounty.Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said the.,
2018-03-24,Hindu priests burn hundreds of mango trees in prayer ritual to curb 'pollution',Washington Post,"More than 350 Hindu priests have gathered in India this week for amulti-day religious ceremony to pray that the gods deliver them from amodern-day scourge — air pollution. But the ceremony involved burninghundreds of mango trees — some 110,000 pounds of wood — in large fire pitsconstructed at ...",
2018-03-24,"12 Arrested During Ritual Sacrifice Involving Dead and Dismembered Animals,",Police Say,TIME(SAN ANTONIO) — Authorities in Texas have arrested at least a dozen peoplefor animal cruelty after interrupting what they believe was ritualsacrifice. The San Antonio Express-News reports that Bexar County sheriff'sdeputies found dead and dismembered animals in a San Antonio-are home Friday...,
2018-03-31,'Ritual' deposition of eggs in the Bronze Age,Unknown,"'Ritual' deposition of eggs in the Bronze Age. 29 March 2018. A well-knownfeature of North-west European Bronze Age culture is the deposition of metalobjects, notably swords, in swamps and rivers. Recent archaeologicalfieldwork seems to point out, that the Bronze Age societies also depositedeggs ...",
2018-03-31,How a beached statue sparked a unique Easter ritual and transformed a region's religious beliefs,Radio Australia,"It had most likely come from the wreck of a Portuguese or a Dutch shipplying the spice trade or from a visiting merchant. Two more statues arrivedover the years, which are now revered and shrouded in secrecy. They're keptlocked up and only brought out once a year: for a unique ritual during theHoly ...",
2018-03-31,Activists carry out Passover Sacrifice ritual at foot of Temple Mount,The Jerusalem Post,"Activists carry out Passover Sacrifice ritual at foot of Temple Mount. Theceremony, that included that slaughtering of a lamb and a demonstration ofthe work of the Kohanim, was attended by senior national-religious rabbis.By Udi Shaham. March 26, 2018 22:37. 1 minute read. Share on facebook",
2018-03-31,A full moon ritual to bring out your inner High Priestess badass,HelloGiggles,"The High Priestess is innately connected to intuition, our magick, thedivine feminine, cycles of death and rebirth, and spiritual mysteries. Ifyou want to sow some seeds of magick this Full Blue Moon and spring, read onfor a simple full moon ritual that will get you in tune with mind, body, andspirit.",
2018-03-31,"Love at first bite: The bizarre, parasitic mating ritual of the anglerfish caught on video",CBC.ca,"The deep-sea creature appears to take its cue from that line in SouthPacific's Some Enchanted Evening: ""Once you have found her, never let hergo."" And now, for the first time ever, the parasitic mating ritual between atiny male anglerfish and his much larger female host has been captured onvideo.",
2018-03-31,Pope washes prisoners' feet in Easter ritual,The Local Italy,"Pope washes prisoners' feet in Easter ritual. Pope Francis kisses feet ofinmates at Rome's Regina Coeli prison. Photo: HO / VATICAN MEDIA / AFP. AFP.news@thelocal.it · @thelocalitaly. 30 March 2018. 08:40 CEST+02:00. PopeFrancis washed prisoners' feet at a Rome jail on Thursday, including ...",
2018-03-31,Mormons' Weekly Family Ritual Is an Antidote to Fast-Paced Living,The Atlantic,"More than 100 years after family home evening was conceived, it has takenon new relevance in a modern, fast-paced culture. (Other religions' ritualsplay a similar role in setting aside dedicated, special family time—theJewish sabbath, in particular, stands out as a strong example.) As scholarsof family ...",
2018-03-31,"Karaga: This annual, cultural ritual symbolises the spirit of Bengaluru",Economic Times,"Karaga Till the 1800s, Bengaluru comprised a fort, several tanks andsettlements interspersed with forests, horticultural gardens and maidans.The British cantonment replaced this with smaller parks and boulevards.Post-Independence, planners gave more prominence to roads. Green spaces andwater ...",
2018-03-31,Jordanian Minister slams Israel for allowing Jewish ritual near Al Aqsa,The Jerusalem Post,"Jordanian Minister slams Israel for allowing Jewish ritual near Al Aqsa.""Israel must cease all such acts that offend Muslims worldwide ... Hundredsof activists carry out the “Korban Pesach” ritual on the foot of the TempleMount, March 26, 2018. (photo credit: MARC ISRAEL SELLEM/THE JERUSALEM ...",
2018-03-31,Former nurse accuses surgeon of 'twisted hazing ritual',The Boston Globe,A former nurse at UMass Memorial Medical Center in Worcester is allegingshe was subjected to a “twisted hazing ritual” in the operating room when adoctor sprayed her with biologically contaminated water from an instrument.In a five-page complaint filed in January with the Massachusetts ...,
2018-04-07,"Animal heads, possibly part of ritual, found in Harvard Square trash",WCVB Boston,"Animal remains, including pig and goat heads, thought to be part of areligious ritual were found in a Church Street trash barrel on March 31,Wicked Local reported. A man reported to police at 9:34 a.m. that he sawthree pig heads, what he thought were three deer heads and a dead bird inboxes in a ...",
2018-04-07,Sankey Lecture explores theatricality of ritual performance,Unknown,"The performance of ritual will be the theme of this year's Sankey Lecture,hosted by the Department of History. The annual event, which draws peoplefrom across Ontario and New York, is held in part to draw attention to thespecial collection of Masonic history donated to Brock from Charles Sankey's...",
2018-04-07,US envoy takes part in Jewish ritual at Jerusalem's Al-Aqsa,Anadolu Agency,"U.S. Ambassador to Israel David Friedman on Monday took part in a Jewishreligious ritual conducted at the Al-Buraq Wall (referred to by Jews as the“Western Wall”) in East Jerusalem's flashpoint Al-Aqsa Mosque complex.According to Israeli state radio, Friedman participated in the recitation ofan ...",
2018-04-07,How publishers can beat the platforms with relationships and ritual,The Drum,"Recent revelations concerning the activities of Cambridge Analytica andother third party groups using Facebook data for less than noble aims havepresented many publishers with a dilemma. In many ways, it's the sameproblem which has dogged content creators since the advent of the news feed...",
2018-04-07,Ritual to banish tiger held in Riau,Jakarta Post,"Ritual to banish tiger held in Riau Personnel from Natural ResourcesConservation Agency (BKSDA) Riau, local residents and oil palm plantationworkers gather in Tanjung Simpang village in Pelangiran district of Riau'sIndragiri Hilir regency on Monday after a worker was reportedly chased by atiger.",
2018-04-07,Bizarre Easter ritual sees Mexican Catholics whip each other to 'free them of sin',The Irish Sun,"Bizarre Easter ritual sees Mexican Catholics whip each other to 'free themof sin'. Men in a Mexican town have taken the Easter practice offlagellation by devout Christians to an extreme level and instead ofwhipping themselves, whip each other. By Jon Rogers. 1st April 2018, 2:06pm. Updated: 1st ...",
2018-04-07,Ritual Magic And The Esoteric World: Freyja Eilíf's Search For The Art God,Reykjavík Grapevine,"Icelandic artist Freyja Eilíf graduated from the Iceland Academy of theArts in 2014, opening the Ekkisens gallery in the basement of hergrandparents' house on Bergstaðastræti soon after. Over three years later,Ekkisens has a monthly exhibition programme, and has become a safe space forthe ...",
2018-04-07,Archbishop condemns ritual killing of children in Senegal,Crux: Covering all things Catholic,"The phenomenon is not specific to Senegal alone. Ritual killings have beenreported in several other African countries, including Uganda, Liberia,Ivory Coast, Cameroon and South Africa. Those who practice human sacrificeand ritual killings believe them to be acts of spiritual fortification.Witch doctors ...",
2018-04-07,"'Opening day' remains a ritual, regardless of Easter – or the weather",Kennebec Journal & Morning Sentinel,"Yet every year many fishermen continue the ritual of fishing on April 1 towelcome the season, regardless of whether the water is near freezing, theday falls on Easter Sunday, or there is snow on the ground. “I'm sure somewill be out there regardless of the holiday. I have fished on Easter on atleast one ...",
2018-04-07,How a Rare Jewish Ritual Added Meaning to Our Family,Unknown,"When our son was born, we put a modern spin on the rare tradition of pidyonhaben, using the ceremony as one way to welcome him to the Jewish community.",
2018-04-07,Ritual for the ages at San Felipe de Neri,Albuquerque Journal,"Parishioners carry a life-size wooden statue of Jesus Christ in aprocession around Old Town Plaza on Friday evening as part of ElDescendimiento, a Good Friday ritual observed at San Felipe de Neri CatholicChurch for about 150 years. (Roberto E. Rosales/Albuquerque Journal).",
2018-04-07,Religious or Ritual Musician,Unknown,"(b Sydney, June 18, 1896; d London, Jan 18, 1987). British organist andchurch musician of Australian birth. A chorister and piano pupil of G.D.Cunningham, organ student at the RCM under F.A. Sewell and Walter Parrattand protégé of Walford Davies, he was at first known as a pianist. He tookthe solo ...",
2018-04-07,Half-belief and the paradox of ritual instrumental activism,Unknown,"Engaging in acts that mimic instrumentality under those circumstances,while disbelieving that their actions can affect the outcome, is identifiedas essentially a ritual response which reaffirms the individual's basiccommitment to agency and an optimistic, activist intervention in the world.This perspective ...",
2018-04-07,Symbolic ritual of removal of Jesus Christ' body from the cross performed at Sameba Cathedral,Unknown,"Catholicos Patriarch of All Georgia Ilia II performed a symbolic ritual ofremoval of Jesus Christ' body from the cross, at Sameba (Holy Trinity)Cathedral today. Today is Holy Friday, also known as Red Friday, a day whenOrthodox Christians commemorate crucifixion of Jesus Christ. This day is the...",
2018-04-07,Czech woman marks arrival of spring with ritual dance,Radio Prague,"Antonie Svobodová, archive of Antonie Svobodová Every year on Palm Sunday,which falls on the Sunday before Easter, Antonie Svobodová performs a ritualdance at Levý Hradec, an early medieval fortress overlooking the VltavaRiver. Through her performance, which is inspired by age-old pagan ...",
2018-04-14,Mating Ritual - Light Myself On Fire,Unknown,"Today's Song of the Day is ""Light Myself On Fire"" from Mating Ritual's newrecord, Light Myself On Fire, out May 4th. Mating Ritual will be playing atthe 7th Street Entry on Thursday, April 12th. Sponsor · Sponsor · Song ofthe Day · Mating Ritual - Light Myself On Fire · Get Today's song · Album ofthe ...",
2018-04-14,The case that could end ritual male circumcision in the UK,The Conversation UK,"A woman from Nottingham, England is suing the doctor who carried out acircumcision on her infant son without her permission. The circumcision tookplace during Eid festival when the infant was in the care of his biologicalfather, a Muslim. After the operation, the child was in so much pain, he was...",
