Date,Headlines,Author,Tag Text,True_Label
17/03/2018,Ritual killing? Outrage in Kakamega as missing girl found dead in water tank,SDE Entertainment News,"Occurrences of ritual killings in Kakamega, which are linked to devilworshipping, have caused panic among residents. In June 2014, the body ofDeborah Achieng, a standard seven pupil at Nabongo Primary School, was foundmutilated. Some of her body parts were chopped off and dumped at a ...",negative
17/03/2018,Meal-ordering app Ritual exposes government employees' office locations,The Verge,"A couple months after Strava unintentionally exposed military baselocations, another app named Ritual is exposing government agencies'locations and workers' restaurant routines. Ritual promises to streamlinetakeout by letting co-workers piggyback off each others' orders. Users get anotification ...",
17/03/2018,"In Spanish Basque Country, Sampling Cider and an Ancient Ritual",New York Times,"No one really tells you what to do when you first arrive at a sagardotegi,or traditional Basque cider house, especially if you don't speak Basque.You're simply given a glass, led to one of the long wooden tables in a vastroom, and immediately served a plate of chorizo, followed by a cod omelet.",
17/03/2018,Perspectives | Scapegoating Becomes a Pre-Election Ritual in Russia,EurasiaNet,"Perspectives | Scapegoating Becomes a Pre-Election Ritual in Russia. Apredictable electoral pattern of choreographed corruption crackdown hastaken hold in Russia during the Putin era. Andres Fernandez Mar 16, 2018.Russian President Vladimir Putin addresses the crowd at a forum entitled ...",
17/03/2018,Ready for the new moon? Try this guided ritual outdoors for *extra* earth-mama magic,Well+Good,"Mindfulness rockstar Kelly Morris is here to lead you through some seriousintention-setting, divine-feminine magic this month. An expert at guidedmeditations?€?just ask the wellness insiders who listen to her Infinity Callevery day, without fail?€?Morris is offering up an at-home New Moon in Piscesritual ...",
17/03/2018,A New Moon Ritual For Cutting The Cord On Limiting Beliefs mindbodygreen.com,Unknown,"The Pisces new moon is a juicy, watery, soft, and tender one. Piscescatches a lot of flak for being emotional, romantic, and mystical?€?sometimesto a fault. That means that this moon might make you feel more sensitive toother people's vibes. And guess what? That's OK! Every new moon carries itsown ...",positive
17/03/2018,"Dead chickens, goats from animal sacrifice ritual found in West Bexar",County,"WOAISAN ANTONIO - Police are questioning suspects Thursday night who claimedthey killed chickens, goats and other animals in a religious sacrificeritual. Authorities were called to 11414 Bronz Sand at about 7:15 p.m. forreports of animal cruelty. Neighbors said they could see people in thegarage ...",negative
17/03/2018,Lorde's 'f**king lit' backstage ritual,New Zealand Herald,"You would think the Grammy award winner would be a bit more 'rock n roll'with her backstage antics, but no. The Kiwi superstar has posted her bizarrebackstage activities on her Instagram story today. In a cute video Ellareveals she adores puzzles. ?€?People often ask what you do to keep busy onsuch ...",
17/03/2018,Nyepi Ritual in Yogyakarta Using Holy Water from India,Tempo.co,"TEMPO.CO, Jakarta - A total of 5,000 Hindus from Central Java andYogyakarta joined Tawur Kesanga ritual to commemorate Nyepi Holy Day atPrambanan Temple, Yogyakarta, on Friday, March 16. Since early morning,people flocked to the yard of Wisnu Mandala in Prambanan Temple Park (TWC)...",
17/03/2018,Video: The story behind Tennessee's board game ritual,247Sports,Video: The story behind Tennessee's board game ritual. VFL Films gets aninside look at Settlers of Catan and the tradition on the road for a fewTennessee basketball players. Grant Ramey - 12 hours ago; 0; Tools. Edit;Slot to 247Sports Home; Slot to Tennessee Volunteers Newsletter; Slot to ...,
